Old.Name,Seq.Name,Plate.Well
GWR_100_48,POP29_74,B10
GWR_100_447,POP29_75,C10
GWR_100_149,POP29_76,D10
GWR_100_324,POP29_77,E10
GWR_100_227,POP29_78,F10
GWR_100_461,POP29_79,G10
GWR_100_10,POP29_80,H10
GWR_100_222,POP29_81,A11
IFG_100_4,POP29_82,B11
IFG_100_75,POP29_83,C11
XXX_100_61,POP29_84,D11
IFG_100_64IN,POP29_85,E11
GWR_100_193,POP29_86,F11
GWR_100_2,POP29_87,G11
GWR_100_50,POP29_88,H11
XXX_100_175,POP29_89,A12
XXX_100_119,POP29_90,B12
GWR_100_458,POP29_91,C12
GWR_100_78,POP29_92,D12
GWR_100_352,POP29_93,E12
IFG_100_34,POP29_94,F12
IFG_100_86,POP29_95,G12
XXX_100_176,POP29_96,H12
GWR_100_465,POP30_01,A1
XXX_100_70,POP30_02,B1
GWR_100_286,POP30_03,C1
XXX_100_156,POP30_04,D1
IFG_100_101,POP30_05,E1
XXX_100_149,POP30_06,F1
GWR_100_414,POP30_07,G1
GWR_100_102,POP30_08,H1
XXX_100_229,POP30_09,A2
GWR_100_248,POP30_10,B2
IFG_100_462,POP30_11,C2
GWR_100_30,POP30_12,D2
GWR_100_29,POP30_13,E2
GWR_100_474,POP30_14,F2
GWR_100_444,POP30_15,G2
GWR_100_306,POP30_16,H2
GWR_100_135,POP30_17,A3
IFG_100_18,POP30_18,B3
GWR_100_172,POP30_19,C3
IFG_100_5,POP30_20,D3
GWR_100_122,POP30_21,E3
XXX_100_139,POP30_22,F3
GWR_100_480,POP30_23,G3
GWR_100_139,POP30_24,H3
GWR_100_446,POP30_25,A4
GWR_100_71,POP30_26,B4
GWR_100_285,POP30_27,C4
GWR_100_402,POP30_28,D4
GWR_100_22,POP30_29,E4
XXX_100_113,POP30_30,F4
IFG_100_58,POP30_31,G4
IFG_100_68,POP30_32,H4
GWR_100_292,POP30_33,A5
XXX_100_248,POP30_34,B5
GWR_100_217A,POP30_35,C5
IFG_100_69,POP30_36,D5
GWR_100_259,POP30_37,E5
GWR_100_315,POP30_38,F5
GWR_100_123,POP30_39,G5
GWR_100_397,POP30_40,H5
GWR_100_125,POP30_41,A6
GWR_100_72,POP30_42,B6
GWR_100_52,POP30_43,C6
XXX_100_130,POP30_44,D6
GWR_100_88,POP30_45,E6
GWR_100_260,POP30_46,F6
XXX_100_116,POP30_47,G6
GWR_100_466,POP30_48,H6
GWR_100_272,POP30_49,A7
GWR_100_321,POP30_50,B7
XXX_100_232,POP30_51,C7
GWR_100_428,POP30_52,D7
IFG_100_67,POP30_53,E7
GWR_100_185,POP30_54,F7
XXX_100_75,POP30_55,G7
GWR_100_426,POP30_56,H7
XXX_100_241,POP30_57,A8
GWR_100_265,POP30_58,B8
GWR_100_94,POP30_59,C8
IFG_100_27,POP30_60,D8
GWR_100_212,POP30_61,E8
XXX_100_1,POP30_62,F8
GWR_100_139,POP30_63,G8
XXX_100_29,POP30_64,H8
GWR_100_273,POP30_65,A9
GWR_100_482,POP30_66,B9
GWR_100_182,POP30_67,C9
GWR_100_378,POP30_68,D9
GWR_100_422,POP30_69,E9
GWR_100_234,POP30_70,F9
GWR_100_323,POP30_71,G9
GWR_100_154,POP30_72,H9
XXX_100_46,POP30_73,A10
IFG_100_15,POP30_74,B10
XXX_100_233,POP30_75,C10
XXX_100_127 ,POP30_76,D10
GWR_100_21,POP30_77,E10
XXX_100_242,POP30_78,F10
GWR_100_275,POP30_79,G10
XXX_100_159,POP30_80,H10
GWR_100_266,POP30_81,A11
XXX_100_43,POP30_82,B11
GWR_100_1,POP30_83,C11
XXX_100_161,POP30_84,D11
GWR_100_105,POP30_85,E11
GWR_100_103,POP30_86,F11
GWR_100_286,POP30_87,G11
GWR_100_152,POP30_88,H11
XXX_100_29,POP30_89,A12
GWR_100_74,POP30_90,B12
XXX_100_55,POP30_91,C12
XXX_100_93,POP30_92,D12
GWR_100_42,POP30_93,E12
GWR_100_392,POP30_94,F12
GWR_100_213,POP30_95,G12
GWR_100_355,POP30_96,H12
GWR_100_481,POP31_01,A1
GWR_100_456,POP31_02,B1
IFG_100_36,POP31_03,C1
GWR_100_187,POP31_04,D1
GWR_100_255,POP31_05,E1
XXX_100_174,POP31_06,F1
GWR_100_209,POP31_07,G1
GWR_100_420,POP31_08,H1
GWR_100_280,POP31_09,A2
GWR_100_284,POP31_10,B2
IFG_100_51,POP31_11,C2
IFG_100_56,POP31_12,D2
GWR_100_233,POP31_13,E2
XXX_100_168,POP31_14,F2
GWR_100_462,POP31_15,G2
IFG_100_20,POP31_16,H2
GWR_100_442,POP31_17,A3
IFG_100_22,POP31_18,B3
GWR_100_349,POP31_19,C3
GWR_100_477,POP31_20,D3
GWR_100_117,POP31_21,E3
XXX_100_153,POP31_22,F3
XXX_100_234,POP31_23,G3
GWR_100_248,POP31_24,H3
XXX_100_178,POP31_25,A4
GWR_100_482,POP31_26,B4
GWR_100_260,POP31_27,C4
GWR_100_262,POP31_28,D4
GWR_100_313,POP31_29,E4
IFG_100_74,POP31_30,F4
GWR_100_505,POP31_31,G4
GWR_100_53,POP31_32,H4
GWR_100_221,POP31_33,A5
IFG_100_41,POP31_34,B5
XXX_100_55,POP31_35,C5
XXX_100_227,POP31_36,D5
IFG_100_87,POP31_37,E5
IFG_100_12,POP31_38,F5
GWR_100_400,POP31_39,G5
GWR_100_264,POP31_40,H5
GWR_100_150,POP31_41,A6
GWR_100_479,POP31_42,B6
IFG_100_52,POP31_43,C6
GWR_100_433,POP31_44,D6
IFG_100_47,POP31_45,E6
IFG_100_61,POP31_46,F6
IFG_100_68,POP31_47,G6
GWR_100_294,POP31_48,H6
GWR_100_46,POP31_49,A7
XXX_100_177,POP31_50,B7
XXX_100_249,POP31_51,C7
GWR_100_194,POP31_52,D7
GWR_100_158,POP31_53,E7
GWR_100_71,POP31_54,F7
GWR_100_53,POP31_55,G7
GWR_100_264,POP31_56,H7
GWR_100_46,POP31_57,A8
GWR_100_306,POP31_58,B8
GWR_100_371,POP31_59,C8
GWR_100_364,POP31_60,D8
XXX_100_121,POP31_61,E8
GWR_100_283,POP31_62,F8
IFG_100_75,POP31_63,G8
XXX_100_121,POP31_64,H8
IFG_100_75IN,POP31_65,A9
GWR_100_309,POP31_66,B9
GWR_100_80,POP31_67,C9
XXX_100_54,POP31_68,D9
XXX_100_89,POP31_69,E9
XXX_100_75,POP31_70,F9
IFG_100_42,POP31_71,G9
GWR_100_3,POP31_72,H9
XXX_100_57,POP31_73,A10
GWR_100_221,POP31_74,B10
GWR_100_135,POP31_75,C10
GWR_100_217A,POP31_76,D10
XXX_100_15,POP31_77,E10
IFG_100_69,POP31_78,F10
GWR_100_185,POP31_79,G10
XXX_100_54,POP31_80,H10
XXX_100_237,POP31_81,A11
GWR_100_505,POP31_82,B11
XXX_100_237,POP31_83,C11
GWR_100_364,POP31_84,D11
GWR_100_68,POP31_85,E11
IFG_100_8,POP31_86,F11
GWR_100_349,POP31_87,G11
GWR_100_149,POP31_88,H11
