File	Type	#Aligned	All	%Mapped
POP28_37	s	902787	1138187	79.3179855331
POP28_38	s	933393	1187795	78.5819943677
POP28_39	s	843476	1056854	79.8100778348
POP28_40	s	978797	1247738	78.4457153665
POP28_42	s	923325	1184186	77.9712815385
POP28_43	s	787704	991052	79.4816013691
POP28_44	s	870313	1080549	80.5435940434
POP28_45	s	770650	959500	80.3178738927
POP28_46	s	828022	1042786	79.4047867923
POP28_47	s	806391	1025971	78.5978356113
POP28_49	s	758442	988925	76.6935814142
POP28_50	s	772367	977678	79.0001411508
POP28_51	s	820821	1090282	75.2852014433
POP28_52	s	974318	1234839	78.902431815
POP28_53	s	889218	1147861	77.4673937001
POP28_54	s	856390	1095608	78.1657308088
POP28_55	s	921615	1177911	78.2414800439
POP28_56	s	943561	1199427	78.6676471348
POP28_58	s	785038	996800	78.7558186196
POP28_59	s	1048974	1319714	79.4849490117
POP28_60	s	983472	1255402	78.3392092732
POP28_61	s	998975	1269013	78.7206277635
POP28_62	s	918427	1145434	80.1815730981
POP28_63	s	884151	1102344	80.2064509808
POP28_64	s	973166	1226115	79.3698796606
POP28_65	s	1008392	1290583	78.1346104822
POP28_66	s	897852	1143188	78.5393128689
POP28_67	s	1025397	1272171	80.6021360336
POP28_69	s	1006486	1285279	78.3087563089
POP28_70	s	925538	1167586	79.2693643124
POP28_71	s	879627	1102076	79.8154573732
POP28_72	s	914326	1162624	78.643310305
POP28_73	s	84885	109555	77.4816302314
POP28_75	s	91251	123438	73.9245613182
POP28_78	s	93375	120630	77.4061178811
POP28_79	s	94687	121568	77.8880955515
POP28_80	s	67101	84562	79.3512452402
POP28_81	s	1233572	1531371	80.553438716
POP28_82	s	1108478	1402549	79.0331032998
POP28_83	s	1191875	1525083	78.1514842143
POP28_84	s	931622	1181717	78.8363034466
POP28_86	s	1109689	1408731	78.772242536
POP28_88	s	1129386	1401800	80.5668426309
POP28_91	s	1052979	1320806	79.722457348
POP28_92	s	1071536	1359363	78.8263326279
POP28_93	s	972917	1230001	79.0988787814
POP28_96	s	884448	1096730	80.6440965415
POP29_01	s	853839	1088856	78.4161542022
POP29_03	s	831714	1050607	79.16509218
POP29_04	s	470818	602641	78.1257830118
POP29_05	s	1011251	1291080	78.3259751526
POP29_06	s	666081	857602	77.6678459239
POP29_07	s	766374	957562	80.0338777019
POP29_08	s	820978	1038523	79.0524620061
POP29_09	s	955319	1206392	79.1881080113
POP29_10	s	917520	1147300	79.9721084285
POP29_12	s	863881	1100886	78.4714311927
POP29_13	s	745262	941433	79.1625107682
POP29_15	s	999800	1272204	78.5880251909
POP29_16	s	988557	1260929	78.3991009803
POP29_19	s	877168	1106280	79.289872365
POP29_20	s	836312	1042836	80.1959272599
POP29_21	s	809087	1021891	79.1754697908
POP29_22	s	787939	996980	79.0325783867
POP29_23	s	773954	986465	78.4573198238
POP29_24	s	5239	14469	36.2084456424
POP29_25	s	941914	1202603	78.3229378274
POP29_28	s	845149	1065271	79.3365256353
POP29_29	s	782043	999062	78.2777245056
POP29_30	s	754172	950748	79.3240690488
POP29_31	s	827812	1039395	79.6436388476
POP29_32	s	887949	1121342	79.1862785841
POP29_34	s	984468	1252313	78.6119763989
POP29_35	s	906286	1141328	79.40627059
POP29_37	s	797006	1011226	78.8158136757
POP29_41	s	965891	1221247	79.0905525254
POP29_42	s	806446	1016806	79.3116877752
POP29_43	s	891366	1118988	79.6582268979
POP29_44	s	954792	1196090	79.8261000426
POP29_45	s	761852	969080	78.6160069344
POP29_47	s	810139	1031989	78.5026778386
POP29_48	s	902538	1137071	79.3739353127
POP29_49	s	796708	995647	80.0191232435
POP29_51	s	896523	1128634	79.4343427542
POP29_52	s	1036069	1327859	78.0255283129
POP29_53	s	927075	1155942	80.2008232247
POP29_54	s	822237	1043527	78.7940321621
POP29_55	s	899705	1108381	81.1728999324
POP29_56	s	1026282	1299298	78.9874224389
POP29_57	s	716617	902303	79.4208818989
POP29_58	s	985081	1259193	78.2311369266
POP29_59	s	984665	1272745	77.365458124
POP29_60	s	1134747	1438250	78.8977576916
POP29_61	s	1031286	1293543	79.7256836456
POP29_62	s	952402	1187686	80.1897134428
POP29_63	s	981871	1240954	79.1222720584
POP29_65	s	745055	941784	79.1110275817
POP29_66	s	912104	1147349	79.4966483607
POP29_67	s	840239	1059477	79.3069599434
POP29_68	s	874690	1097088	79.7283353751
POP29_69	s	975442	1228191	79.4210346762
POP29_71	s	836511	1051417	79.5603457049
POP29_73	s	763811	966442	79.0332994634
POP29_74	s	924828	1177446	78.5452581265
POP29_75	s	918379	1168158	78.6177041119
POP29_76	s	998888	1277197	78.2093913468
